"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Newton County, AR"	"05101"	475	39938	1189.3	789.3
	"Ouachita County, AR"	"05103"	1746	123641	1412.2	1041.5
	"Perry County, AR"	"05105"	635	51231	1239.5	939.9
	"Phillips County, AR"	"05107"	1326	99646	1330.7	1137.0
	"Pike County, AR"	"05109"	710	55084	1288.9	998.3
	"Poinsett County, AR"	"05111"	1713	120655	1419.8	1180.1
	"Polk County, AR"	"05113"	1355	101451	1335.6	922.2
	"Pope County, AR"	"05115"	2942	315534	932.4	868.8
	"Prairie County, AR"	"05117"	532	41669	1276.7	830.5
	"Pulaski County, AR"	"05119"	18062	1959032	922.0	860.7
	"Randolph County, AR"	"05121"	1183	87918	1345.6	941.6
	"St. Francis County, AR"	"05123"	1406	135115	1040.6	977.9
	"Saline County, AR"	"05125"	5333	577886	922.8	791.7
	"Scott County, AR"	"05127"	624	53306	1170.6	909.3
	"Searcy County, AR"	"05129"	596	39692	1501.6	928.9
	"Sebastian County, AR"	"05131"	6362	636755	999.1	898.7
	"Sevier County, AR"	"05133"	805	85963	936.4	904.0
	"Sharp County, AR"	"05135"	1335	85137	1568.1	968.6
	"Stone County, AR"	"05137"	846	62514	1353.3	847.0
	"Union County, AR"	"05139"	2602	201670	1290.2	1018.2
	"Van Buren County, AR"	"05141"	1175	84460	1391.2	828.9
	"Washington County, AR"	"05143"	7492	1099649	681.3	785.8
	"White County, AR"	"05145"	4143	394113	1051.2	949.2
	"Woodruff County, AR"	"05147"	514	34364	1495.8	1017.3
	"Yell County, AR"	"05149"	1315	108581	1211.1	977.3
	"Alameda County, CA"	"06001"	48168	8026087	600.1	581.0
	"Alpine County, CA"	"06003"	47	5545	847.6	652.3
	"Amador County, CA"	"06005"	2159	184813	1168.2	687.8
	"Butte County, CA"	"06007"	11530	1119385	1030.0	782.0
	"Calaveras County, CA"	"06009"	2424	223937	1082.4	689.5
	"Colusa County, CA"	"06011"	707	106807	661.9	636.6
	"Contra Costa County, CA"	"06013"	37316	5539626	673.6	593.1
	"Del Norte County, CA"	"06015"	1411	138142	1021.4	870.9
	"El Dorado County, CA"	"06017"	7308	915000	798.7	613.3
	"Fresno County, CA"	"06019"	32583	4815802	676.6	731.0
	"Glenn County, CA"	"06021"	1252	139881	895.0	774.8
	"Humboldt County, CA"	"06023"	6557	675912	970.1	835.1
	"Imperial County, CA"	"06025"	5225	894036	584.4	603.5
	"Inyo County, CA"	"06027"	1027	91631	1120.8	697.5
	"Kern County, CA"	"06029"	28702	4356685	658.8	815.9
	"Kings County, CA"	"06031"	3989	751307	530.9	690.5
	"Lake County, CA"	"06033"	4193	320379	1308.8	932.3
	"Lassen County, CA"	"06035"	1166	159723	730.0	722.2
	"Los Angeles County, CA"	"06037"	302937	50285776	602.4	591.4
	"Madera County, CA"	"06039"	5263	766832	686.3	709.4
	"Marin County, CA"	"06041"	9500	1296791	732.6	481.6
	"Mariposa County, CA"	"06043"	950	88225	1076.8	689.5
	"Mendocino County, CA"	"06045"	4280	437046	979.3	730.6
	"Merced County, CA"	"06047"	8416	1325003	635.2	745.5
	"Modoc County, CA"	"06049"	570	45166	1262.0	848.4
	"Mono County, CA"	"06051"	261	70256	371.5	411.5
	"Monterey County, CA"	"06053"	12377	2151004	575.4	575.0
	"Napa County, CA"	"06055"	6026	704117	855.8	627.6
	"Nevada County, CA"	"06057"	4888	493193	991.1	605.7
	"Orange County, CA"	"06059"	94516	15661054	603.5	560.6
	"Placer County, CA"	"06061"	15109	1852853	815.4	603.6
	"Plumas County, CA"	"06063"	1155	93772	1231.7	789.0
	"Riverside County, CA"	"06065"	77297	11619459	665.2	646.0
	"Sacramento County, CA"	"06067"	54646	7396500	738.8	707.1
	"San Benito County, CA"	"06069"	1577	290255	543.3	582.1
	"San Bernardino County, CA"	"06071"	65960	10533768	626.2	742.9
	"San Diego County, CA"	"06073"	102969	16266782	633.0	600.7
	"San Francisco County, CA"	"06075"	28278	4251411	665.1	545.1
	"San Joaquin County, CA"	"06077"	26177	3574299	732.4	767.2
	"San Luis Obispo County, CA"	"06079"	11477	1393402	823.7	610.1
	"San Mateo County, CA"	"06081"	23388	3773741	619.8	508.8
	"Santa Barbara County, CA"	"06083"	15204	2196976	692.0	589.6
	"Santa Clara County, CA"	"06085"	48787	9425280	517.6	508.0
	"Santa Cruz County, CA"	"06087"	8704	1354654	642.5	595.8
	"Shasta County, CA"	"06089"	10912	896141	1217.7	879.7
	"Sierra County, CA"	"06091"	179	15028	1191.1	695.9
	"Siskiyou County, CA"	"06093"	2839	218341	1300.3	850.3
	"Solano County, CA"	"06095"	15415	2147982	717.7	681.0
	"Sonoma County, CA"	"06097"	20042	2488878	805.3	615.5
	"Stanislaus County, CA"	"06099"	20248	2652803	763.3	784.7
	"Sutter County, CA"	"06101"	3897	477028	816.9	730.1
	"Tehama County, CA"	"06103"	3115	315073	988.7	774.4
	"Trinity County, CA"	"06105"	792	65901	1201.8	812.6
	"Tulare County, CA"	"06107"	14674	2278845	643.9	760.6
	"Tuolumne County, CA"	"06109"	3260	269320	1210.5	750.7
	"Ventura County, CA"	"06111"	27188	4215552	644.9	589.2
	"Yolo County, CA"	"06113"	6324	1048355	603.2	645.5
	"Yuba County, CA"	"06115"	2927	369484	792.2	894.0
	"Adams County, CO"	"08001"	14010	2399886	583.8	755.2
	"Alamosa County, CO"	"08003"	688	81767	841.4	878.1
	"Arapahoe County, CO"	"08005"	18015	3088342	583.3	620.0
	"Archuleta County, CO"	"08007"	464	61774	751.1	561.4
	"Baca County, CO"	"08009"	272	18241	1491.1	730.9
	"Bent County, CO"	"08011"	285	29082	980.0	774.4
	"Boulder County, CO"	"08013"	8650	1569805	551.0	567.3
	"Broomfield County, CO"	"08014"	1764	312246	564.9	595.1
	"Chaffee County, CO"	"08015"	902	92535	974.8	636.4
	"Cheyenne County, CO"	"08017"	86	9259	928.8	569.9
	"Clear Creek County, CO"	"08019"	280	46190	606.2	554.0
	"Conejos County, CO"	"08021"	434	41066	1056.8	903.1
	"Costilla County, CO"	"08023"	200	17948	1114.3	742.7
	"Crowley County, CO"	"08025"	211	27684	762.2	780.4
	"Custer County, CO"	"08027"	199	21876	909.7	562.3
	"Delta County, CO"	"08029"	1781	151105	1178.7	746.3
	"Denver County, CO"	"08031"	22278	3316513	671.7	730.2
	"Dolores County, CO"	"08033"	99	10040	986.1	657.8
	"Douglas County, CO"	"08035"	5842	1571190	371.8	503.9
	"Eagle County, CO"	"08037"	570	264471	215.5	321.0
	"Elbert County, CO"	"08039"	636	121127	525.1	541.6
	"El Paso County, CO"	"08041"	20941	3325855	629.6	701.5
	"Fremont County, CO"	"08043"	2703	234175	1154.3	804.6
	"Garfield County, CO"	"08045"	1527	287473	531.2	626.1
	"Gilpin County, CO"	"08047"	139	28541	487.0	517.7
	"Grand County, CO"	"08049"	318	72450	438.9	493.6
	"Gunnison County, CO"	"08051"	348	79443	438.0	563.3
	"Hinsdale County, CO"	"08053"	24	3937	609.6	527.4
	"Huerfano County, CO"	"08055"	504	32604	1545.8	853.4
	"Jackson County, CO"	"08057"	58	6806	852.2	582.5
	"Jefferson County, CO"	"08059"	20898	2794048	747.9	662.9
	"Kiowa County, CO"	"08061"	104	7051	1475.0	750.8
	"Kit Carson County, CO"	"08063"	372	40869	910.2	649.0
	"Lake County, CO"	"08065"	200	37006	540.5	641.8
	"La Plata County, CO"	"08067"	1661	269970	615.3	595.7
	"Larimer County, CO"	"08069"	10493	1626141	645.3	608.0
	"Las Animas County, CO"	"08071"	858	71610	1198.2	821.0
	"Lincoln County, CO"	"08073"	263	27573	953.8	662.5
	"Logan County, CO"	"08075"	1092	109311	999.0	747.3
	"Mesa County, CO"	"08077"	7158	740829	966.2	756.1
	"Mineral County, CO"	"08079"	31	3581	865.7	498.0
	"Moffat County, CO"	"08081"	494	65170	758.0	764.0
	"Montezuma County, CO"	"08083"	1308	130029	1005.9	768.1
	"Montrose County, CO"	"08085"	2131	204330	1042.9	697.6
	"Morgan County, CO"	"08087"	1298	141442	917.7	736.2
	"Otero County, CO"	"08089"	1208	92200	1310.2	933.9
	"Ouray County, CO"	"08091"	153	23257	657.9	518.8
	"Park County, CO"	"08093"	444	82198	540.2	536.7
	"Phillips County, CO"	"08095"	254	21733	1168.7	681.3
	"Pitkin County, CO"	"08097"	256	87713	291.9	289.8
	"Prowers County, CO"	"08099"	629	60605	1037.9	842.7
	"Pueblo County, CO"	"08101"	8348	810790	1029.6	818.1
	"Rio Blanco County, CO"	"08103"	267	33289	802.1	744.1
	"Rio Grande County, CO"	"08105"	631	58114	1085.8	794.1
	"Routt County, CO"	"08107"	518	119899	432.0	518.6
	"Saguache County, CO"	"08109"	223	31273	713.1	620.6
	"San Juan County, CO"	"08111"	21	3491	601.5	706.6
	"San Miguel County, CO"	"08113"	123	38835	316.7	383.4
	"Sedgwick County, CO"	"08115"	186	11836	1571.5	848.3
	"Summit County, CO"	"08117"	324	146347	221.4	306.3
	"Teller County, CO"	"08119"	805	117362	685.9	671.9
	"Washington County, CO"	"08121"	256	24070	1063.6	651.6
	"Weld County, CO"	"08123"	8252	1390327	593.5	680.9
	"Yuma County, CO"	"08125"	474	50752	934.0	666.3
	"Fairfield County, CT"	"09001"	33622	4708089	714.1	581.6
	"Hartford County, CT"	"09003"	39282	4478496	877.1	670.5
	"Litchfield County, CT"	"09005"	8965	925704	968.5	673.9
	"Middlesex County, CT"	"09007"	7451	822192	906.2	638.9
	"New Haven County, CT"	"09009"	38507	4304371	894.6	688.1
	"New London County, CT"	"09011"	11956	1360165	879.0	687.3
	"Tolland County, CT"	"09013"	4997	758447	658.8	601.8
	"Windham County, CT"	"09015"	5106	585389	872.2	745.9
	"Kent County, DE"	"10001"	7593	857371	885.6	796.8
	"New Castle County, DE"	"10003"	22141	2759987	802.2	727.9
	"Sussex County, DE"	"10005"	11824	1056119	1119.6	734.8
	"District of Columbia, DC"	"11001"	24000	3295044	728.4	755.0
	"Alachua County, FL"	"12001"	9189	1282907	716.3	729.7
	"Baker County, FL"	"12003"	1166	136560	853.8	886.5
	"Bay County, FL"	"12005"	9152	891804	1026.2	845.0
	"Bradford County, FL"	"12007"	1477	134594	1097.4	845.7
	"Brevard County, FL"	"12009"	33823	2803415	1206.5	746.5
	"Broward County, FL"	"12011"	72968	9318901	783.0	620.6
	"Calhoun County, FL"	"12013"	812	72752	1116.1	867.1
	"Charlotte County, FL"	"12015"	12258	848209	1445.2	626.2
	"Citrus County, FL"	"12017"	12337	702263	1756.7	835.7
	"Clay County, FL"	"12019"	8110	1001731	809.6	784.1
	"Collier County, FL"	"12021"	15512	1741181	890.9	453.9
	"Columbia County, FL"	"12023"	3824	340988	1121.4	898.6
	"DeSoto County, FL"	"12027"	1532	175671	872.1	647.0
	"Dixie County, FL"	"12029"	1075	80420	1336.7	954.2
	"Duval County, FL"	"12031"	38569	4504451	856.2	835.9
	"Escambia County, FL"	"12033"	16039	1547872	1036.2	873.0
	"Flagler County, FL"	"12035"	6081	514587	1181.7	671.2
	"Franklin County, FL"	"12037"	668	58524	1141.4	881.0
	"Gadsden County, FL"	"12039"	2320	230767	1005.3	870.1
	"Gilchrist County, FL"	"12041"	935	85164	1097.9	797.7
	"Glades County, FL"	"12043"	563	67102	839.0	551.7
	"Gulf County, FL"	"12045"	908	79257	1145.6	903.7
	"Hamilton County, FL"	"12047"	706	71808	983.2	868.2
	"Hardee County, FL"	"12049"	1032	136510	756.0	683.6
	"Hendry County, FL"	"12051"	1401	191881	730.1	730.4
	"Hernando County, FL"	"12053"	12772	883985	1444.8	788.8
	"Highlands County, FL"	"12055"	7400	494311	1497.0	696.6
	"Hillsborough County, FL"	"12057"	50167	6615297	758.3	728.3
	"Holmes County, FL"	"12059"	1277	97847	1305.1	985.5
	"Indian River County, FL"	"12061"	9710	726711	1336.2	631.3
	"Jackson County, FL"	"12063"	2900	243606	1190.4	891.3
	"Jefferson County, FL"	"12065"	788	70409	1119.2	789.6
	"Lafayette County, FL"	"12067"	348	43708	796.2	742.8
	"Lake County, FL"	"12069"	18806	1587930	1184.3	686.2
	"Lee County, FL"	"12071"	32689	3404850	960.1	567.3
	"Leon County, FL"	"12073"	8899	1423941	625.0	694.9
	"Levy County, FL"	"12075"	2645	198537	1332.2	904.2
	"Liberty County, FL"	"12077"	309	41426	745.9	805.2
	"Madison County, FL"	"12079"	1160	92801	1250.0	958.8
	"Manatee County, FL"	"12081"	18536	1767053	1049.0	617.5
	"Marion County, FL"	"12083"	23726	1701707	1394.2	797.5
	"Martin County, FL"	"12085"	9395	767959	1223.4	576.5
	"Miami-Dade County, FL"	"12086"	95926	13322089	720.1	588.2
	"Monroe County, FL"	"12087"	3539	385752	917.4	648.6
	"Nassau County, FL"	"12089"	3843	385934	995.8	756.9
	"Okaloosa County, FL"	"12091"	8408	978992	858.8	768.7
	"Okeechobee County, FL"	"12093"	2138	197100	1084.7	851.6
	"Orange County, FL"	"12095"	37110	6280276	590.9	666.2
	"Osceola County, FL"	"12097"	9967	1559811	639.0	671.4
	"Palm Beach County, FL"	"12099"	70311	6993785	1005.3	565.9
	"Pasco County, FL"	"12101"	28799	2441548	1179.5	759.1
	"Pinellas County, FL"	"12103"	57646	4697738	1227.1	706.7
	"Polk County, FL"	"12105"	31855	3188456	999.1	739.5
	"Putnam County, FL"	"12107"	4746	361521	1312.8	912.7
	"St. Johns County, FL"	"12109"	8859	1091811	811.4	614.4
	"St. Lucie County, FL"	"12111"	15045	1465680	1026.5	655.1
	"Santa Rosa County, FL"	"12113"	6576	819516	802.4	765.1
	"Sarasota County, FL"	"12115"	26737	1990055	1343.5	581.9
	"Seminole County, FL"	"12117"	15992	2214526	722.1	637.9
	"Sumter County, FL"	"12119"	7809	567943	1375.0	581.2
	"Suwannee County, FL"	"12121"	2764	218264	1266.4	905.7
	"Taylor County, FL"	"12123"	1263	112911	1118.6	881.2
	"Union County, FL"	"12125"	1111	75796	1465.8	1472.5
	"Volusia County, FL"	"12127"	33354	2554028	1305.9	791.8
	"Wakulla County, FL"	"12129"	1313	156570	838.6	865.4
	"Walton County, FL"	"12131"	2895	307639	941.0	742.4
	"Washington County, FL"	"12133"	1419	123134	1152.4	953.4
	"Appling County, GA"	"13001"	992	92051	1077.7	946.1
	"Atkinson County, GA"	"13003"	390	41341	943.4	1089.4
	"Bacon County, GA"	"13005"	644	56254	1144.8	1077.6
	"Baker County, GA"	"13007"	147	16252	904.5	650.2
	"Baldwin County, GA"	"13009"	2048	229041	894.2	866.9
	"Banks County, GA"	"13011"	787	91681	858.4	836.9
	"Barrow County, GA"	"13013"	2717	366701	740.9	850.9
	"Bartow County, GA"	"13015"	4237	509709	831.3	875.6
	"Ben Hill County, GA"	"13017"	1072	87024	1231.8	1071.7
	"Berrien County, GA"	"13019"	1039	94931	1094.5	934.1
	"Bibb County, GA"	"13021"	8588	770969	1113.9	1015.0
	"Bleckley County, GA"	"13023"	722	64175	1125.0	906.6
	"Brantley County, GA"	"13025"	913	92013	992.3	931.6
	"Brooks County, GA"	"13027"	924	78225	1181.2	945.8
	"Bryan County, GA"	"13029"	1274	170521	747.1	916.9
	"Bulloch County, GA"	"13031"	2475	365705	676.8	873.2
	"Burke County, GA"	"13033"	1175	114188	1029.0	979.7
	"Butts County, GA"	"13035"	1338	117393	1139.8	1051.2
	"Calhoun County, GA"	"13037"	335	32214	1039.9	949.6
	"Camden County, GA"	"13039"	1664	260460	638.9	787.3
	"Candler County, GA"	"13043"	688	54810	1255.2	1069.8
	"Carroll County, GA"	"13045"	5178	568779	910.4	983.2
	"Catoosa County, GA"	"13047"	3014	328227	918.3	804.1
	"Charlton County, GA"	"13049"	541	64842	834.3	810.8
	"Chatham County, GA"	"13051"	11846	1413066	838.3	798.6
	"Chattahoochee County, GA"	"13053"	180	59408	303.0	839.9
	"Chattooga County, GA"	"13055"	1628	125229	1300.0	1073.2
	"Cherokee County, GA"	"13057"	6713	1153145	582.1	696.7
	"Clarke County, GA"	"13059"	3672	610184	601.8	779.0
	"Clay County, GA"	"13061"	208	15341	1355.8	882.8
	"Clayton County, GA"	"13063"	7618	1351346	563.7	823.6
	"Clinch County, GA"	"13065"	382	34068	1121.3	1093.2
	"Cobb County, GA"	"13067"	20368	3641942	559.3	681.0
	"Coffee County, GA"	"13069"	1975	215210	917.7	977.5
	"Colquitt County, GA"	"13071"	2363	230011	1027.3	986.8
	"Columbia County, GA"	"13073"	4224	699519	603.8	682.2
	"Cook County, GA"	"13075"	930	85517	1087.5	1002.6
	"Coweta County, GA"	"13077"	4803	678123	708.3	788.9
	"Crawford County, GA"	"13079"	567	62414	908.5	807.1
	"Crisp County, GA"	"13081"	1224	115306	1061.5	881.9
	"Dade County, GA"	"13083"	941	81782	1150.6	958.7
	"Dawson County, GA"	"13085"	989	114696	862.3	822.4
	"Decatur County, GA"	"13087"	1524	136185	1119.1	954.3
