"survey","year","var_code","var_label","data_type","level","val_min","val_max","val_label","recode","val_length","val_na"
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"39","39","Ohio/OH",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"40","40","Oklahoma/OK",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"41","41","Oregon/OR",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"42","42","Pennsylvania/PA",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"44","44","Rhode Island/RI",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"45","45","South Carolina/SC",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"46","46","South Dakota/SD",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"47","47","Tennessee/TN",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"48","48","Texas/TX",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"49","49","Utah/UT",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"50","50","Vermont/VT",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"51","51","Virginia/VA",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"53","53","Washington/WA",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"54","54","West Virginia/WV",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"55","55","Wisconsin/WI",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"56","56","Wyoming/WY",TRUE,2,NA
"acs1","2017","ST","State Code based on 2010 Census definitions","chr",NA,"72","72","Puerto Rico/PR",TRUE,2,NA
"acs1","2017","PWGTP","Person's weight","num","person","00001","09999","Integer weight of person",FALSE,NA,NA
"acs1","2017","SCHL","Educational attainment","chr","person","bb","bb","N/A (less than 3 years old)",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","01","01","No schooling completed",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","02","02","Nursery school, preschool",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","03","03","Kindergarten",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","04","04","Grade 1",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","05","05","Grade 2",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","06","06","Grade 3",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","07","07","Grade 4",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","08","08","Grade 5",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","09","09","Grade 6",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","10","10","Grade 7",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","11","11","Grade 8",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","12","12","Grade 9",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","13","13","Grade 10",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","14","14","Grade 11",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","15","15","12th grade - no diploma",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","16","16","Regular high school diploma",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","17","17","GED or alternative credential",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","18","18","Some college, but less than 1 year",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","19","19","1 or more years of college credit, no degree",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","20","20","Associate's degree",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","21","21","Bachelor's degree",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","22","22","Master's degree",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","23","23","Professional degree beyond a bachelor's degree",TRUE,2,0
"acs1","2017","SCHL","Educational attainment","chr","person","24","24","Doctorate degree",TRUE,2,0
"acs1","2017","SEX","Sex","chr","person","1","1","Male",TRUE,1,NA
"acs1","2017","SEX","Sex","chr","person","2","2","Female",TRUE,1,NA
"acs1","2017","WAGP","Wages or salary income past 12 months (use ADJINC to adjust WAGP to constant dollars)","num","person","bbbbbb","bbbbbb","N/A (less than 15 years old)",FALSE,NA,NA
"acs1","2017","WAGP","Wages or salary income past 12 months (use ADJINC to adjust WAGP to constant dollars)","num","person","000000","000000","None",FALSE,NA,NA
"acs1","2017","WAGP","Wages or salary income past 12 months (use ADJINC to adjust WAGP to constant dollars)","num","person","000001","999999","$1 to 999999 (Rounded and top-coded)",FALSE,NA,NA
"acs1","2017","ESR","Employment status recode","chr","person","b","b","N/A (less than 16 years old)",TRUE,1,0
"acs1","2017","ESR","Employment status recode","chr","person","1","1","Civilian employed, at work",TRUE,1,0
"acs1","2017","ESR","Employment status recode","chr","person","2","2","Civilian employed, with a job but not at work",TRUE,1,0
"acs1","2017","ESR","Employment status recode","chr","person","3","3","Unemployed",TRUE,1,0
"acs1","2017","ESR","Employment status recode","chr","person","4","4","Armed forces, at work",TRUE,1,0
"acs1","2017","ESR","Employment status recode","chr","person","5","5","Armed forces, with a job but not at work",TRUE,1,0
"acs1","2017","ESR","Employment status recode","chr","person","6","6","Not in labor force",TRUE,1,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","bbbb","bbbb","N/A (less than bachelor's degree)",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","1100","1100","General Agriculture",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","1101","1101","Agriculture Production And Management",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","1102","1102","Agricultural Economics",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","1103","1103","Animal Sciences",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","1104","1104","Food Science",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","1105","1105","Plant Science And Agronomy",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","1106","1106","Soil Science",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","1199","1199","Miscellaneous Agriculture",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","1301","1301","Environmental Science",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","1302","1302","Forestry",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","1303","1303","Natural Resources Management",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","1401","1401","Architecture",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","1501","1501","Area Ethnic And Civilization Studies",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","1901","1901","Communications",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","1902","1902","Journalism",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","1903","1903","Mass Media",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","1904","1904","Advertising And Public Relations",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2001","2001","Communication Technologies",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2100","2100","Computer And Information Systems",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2101","2101","Computer Programming And Data Processing",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2102","2102","Computer Science",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2105","2105","Information Sciences",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2106","2106","Computer Administration Management And Security",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2107","2107","Computer Networking And Telecommunications",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2201","2201","Cosmetology Services And Culinary Arts",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2300","2300","General Education",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2301","2301","Educational Administration And Supervision",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2303","2303","School Student Counseling",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2304","2304","Elementary Education",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2305","2305","Mathematics Teacher Education",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2306","2306","Physical And Health Education Teaching",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2307","2307","Early Childhood Education",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2308","2308","Science And Computer Teacher Education",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2309","2309","Secondary Teacher Education",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2310","2310","Special Needs Education",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2311","2311","Social Science Or History Teacher Education",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2312","2312","Teacher Education: Multiple Levels",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2313","2313","Language And Drama Education",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2314","2314","Art And Music Education",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2399","2399","Miscellaneous Education",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2400","2400","General Engineering",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2401","2401","Aerospace Engineering",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2402","2402","Biological Engineering",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2403","2403","Architectural Engineering",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2404","2404","Biomedical Engineering",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2405","2405","Chemical Engineering",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2406","2406","Civil Engineering",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2407","2407","Computer Engineering",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2408","2408","Electrical Engineering",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2409","2409","Engineering Mechanics Physics And Science",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2410","2410","Environmental Engineering",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2411","2411","Geological And Geophysical Engineering",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2412","2412","Industrial And Manufacturing Engineering",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2413","2413","Materials Engineering And Materials Science",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2414","2414","Mechanical Engineering",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2415","2415","Metallurgical Engineering",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2416","2416","Mining And Mineral Engineering",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2417","2417","Naval Architecture And Marine Engineering",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2418","2418","Nuclear Engineering",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2419","2419","Petroleum Engineering",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2499","2499","Miscellaneous Engineering",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2500","2500","Engineering Technologies",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2501","2501","Engineering And Industrial Management",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2502","2502","Electrical Engineering Technology",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2503","2503","Industrial Production Technologies",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2504","2504","Mechanical Engineering Related Technologies",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2599","2599","Miscellaneous Engineering Technologies",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2601","2601","Linguistics And Comparative Language And Literature",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2602","2602","French German Latin And Other Common Foreign Language Studies",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2603","2603","Other Foreign Languages",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","2901","2901","Family And Consumer Sciences",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3201","3201","Court Reporting",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3202","3202","Pre-Law And Legal Studies",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3301","3301","English Language And Literature",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3302","3302","Composition And Rhetoric",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3401","3401","Liberal Arts",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3402","3402","Humanities",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3501","3501","Library Science",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3600","3600","Biology",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3601","3601","Biochemical Sciences",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3602","3602","Botany",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3603","3603","Molecular Biology",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3604","3604","Ecology",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3605","3605","Genetics",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3606","3606","Microbiology",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3607","3607","Pharmacology",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3608","3608","Physiology",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3609","3609","Zoology",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3611","3611","Neuroscience",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3699","3699","Miscellaneous Biology",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3700","3700","Mathematics",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3701","3701","Applied Mathematics",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3702","3702","Statistics And Decision Science",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","3801","3801","Military Technologies",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","4000","4000","Multi/Interdisciplinary Studies",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","4001","4001","Intercultural And International Studies",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","4002","4002","Nutrition Sciences",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","4005","4005","Mathematics And Computer Science",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","4006","4006","Cognitive Science And Biopsychology",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","4007","4007","Interdisciplinary Social Sciences",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","4101","4101","Physical Fitness Parks Recreation And Leisure",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","4801","4801","Philosophy And Religious Studies",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","4901","4901","Theology And Religious Vocations",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5000","5000","Physical Sciences",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5001","5001","Astronomy And Astrophysics",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5002","5002","Atmospheric Sciences And Meteorology",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5003","5003","Chemistry",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5004","5004","Geology And Earth Science",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5005","5005","Geosciences",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5006","5006","Oceanography",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5007","5007","Physics",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5008","5008","Materials Science",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5098","5098","Multi-Disciplinary Or General Science",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5102","5102","Nuclear, Industrial Radiology, And Biological Technologies",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5200","5200","Psychology",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5201","5201","Educational Psychology",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5202","5202","Clinical Psychology",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5203","5203","Counseling Psychology",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5205","5205","Industrial And Organizational Psychology",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5206","5206","Social Psychology",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5299","5299","Miscellaneous Psychology",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5301","5301","Criminal Justice And Fire Protection",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5401","5401","Public Administration",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5402","5402","Public Policy",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5403","5403","Human Services And Community Organization",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5404","5404","Social Work",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5500","5500","General Social Sciences",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5501","5501","Economics",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5502","5502","Anthropology And Archeology",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5503","5503","Criminology",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5504","5504","Geography",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5505","5505","International Relations",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5506","5506","Political Science And Government",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5507","5507","Sociology",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5599","5599","Miscellaneous Social Sciences",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5601","5601","Construction Services",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5701","5701","Electrical, Mechanical, And Precision Technologies And Production",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","5901","5901","Transportation Sciences And Technologies",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","6000","6000","Fine Arts",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","6001","6001","Drama And Theater Arts",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","6002","6002","Music",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","6003","6003","Visual And Performing Arts",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","6004","6004","Commercial Art And Graphic Design",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","6005","6005","Film Video And Photographic Arts",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","6006","6006","Art History And Criticism",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","6007","6007","Studio Arts",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","6099","6099","Miscellaneous Fine Arts",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","6100","6100","General Medical And Health Services",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","6102","6102","Communication Disorders Sciences And Services",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","6103","6103","Health And Medical Administrative Services",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","6104","6104","Medical Assisting Services",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","6105","6105","Medical Technologies Technicians",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","6106","6106","Health And Medical Preparatory Programs",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","6107","6107","Nursing",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","6108","6108","Pharmacy Pharmaceutical Sciences And Administration",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","6109","6109","Treatment Therapy Professions",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","6110","6110","Community And Public Health",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","6199","6199","Miscellaneous Health Medical Professions",TRUE,4,0
"acs1","2017","FOD1P","Recoded field of degree - first entry","chr","person","6200","6200","General Business",TRUE,4,0
